Cisco Wireless Access Point
Compex Wireless Access Point
Cisco/Linksys Router
Netgear Router
OEMed Wireless Router
Apple Airport
Symbol Wireless Access Point
Nortel/Trapeze Wireless Access Point
Gemtek Wireless Router
D-Link Wireless Router
2Wire Residential Gateway
Motorola Router
Buffalo Wireless AP
Bluesocket BSC
DD-WRT Router
Trendnet Access Point
TP-Link Wireless LAN Router
Ruckus Wireless
Enterasys or Trapeze Wireless Access Point
Enterasys HiPath Wireless Access Point
Quanta Microsystems Router
HP ProCurve Access Point
HP ProCurve Controller
Aruba Access Point
Trendnet Wireless Router
Belkin Wireless Router
MikroTik (RouterOS)
Freebox Wireless Router
AeroHive Hive Access Points
Tenda Wireless Router
Zioncom Wireless Router
AP Meraki
Actiontec Wireless Router
N300 Wireless Router
Motorola AP 6511
Sophos/Astaro Wireless Access Point AP 10 Access Point
