2N TELEKOMUNIKACE Helios Phones
Aastra VoIP
Alcatel Advanced Reflex IP Phone
Alcatel IP Touch 8 Series Phones
Android LG Nexus 5 & 7
Android Tablet
Apple iPad
Apple iPhone
Apple iPod
Avaya IP Phone
Barnes and Noble Nook (eReader)
BATM VoIP Adapter
Cisco ATA 186
Cisco IP Phone
Cisco/Linksys SPA series IP Phone
Clipcomm IP Phone
Generic Android
Gigaset Communications GmbH
GrandStream HandyTone 503 ATA
Grandstream Telephone
HTC Android
Kindle HD
LG BL40
LG G2 F320
Linksys PAP VoIP
MagicJack Plus
Mediatrix VoIP Adapter
Mitel IP Phone
Motorola Android
NetCODEC Co VoIP
Nokia
Nortel IP Phone
Nortel IP Phone Model 1535
Palm OS
Panasonic KX-UDS124CE SIP-DECT Base Station
Polycom Conference IP Phone
Polycom SoundPoint IP 301
Polycom SoundPoint IP 430
Polycom SoundPoint IP 450
Polycom SoundStation IP 6000
RIM BlackBerry
Samsung Android
Samsung Galaxy Tab 3 7.0 SM-T210R
Samsung GT-S5690M (Galaxy Ruby)
Samsung S5260 Star II
Samsung S8000
Samsung S8500
Sharp Phone
ShoreTel IP Phone
Siemens OpenStage IP Phones
Siemens optiPoint 150 S
Siemens optiPoint 410/420
Siemens optiPoint WL2 Professional
Sipura VoIP Adaptor
Snom VoIP solutions
Sony Ericsson Android
Sony Ericsson CK15A
Sony Ericsson W800i
Sunrocket VoIP Gizmo
Symbian OS
UniData IP Phone
Uniden DTA VoIP Adapater
Unidentified Polycom
Unknown Android
UTStarcom F3000
Vizio Android Tablet
Windows Phone 8.0
XIAMEN YEALINK NETWORK TECHNOLOGY
ZTE N9120 Android
ZyXEL WiFi Phone
